experiment,form,equation,alpha,seed,rmse,avg_step,cp_error,shock_deviation,recovery_error
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,48,0.16117360614259366,0.023006198798662995,0.20164823129975118,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,49,0.16140319359766453,0.022789702359249445,0.18756337875515558,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,0,0.11186299773679818,0.036498795871605386,0.15685060834183429,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,1,0.10674749655600047,0.04067230989165819,0.14431576516352004,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,2,0.10362745847632265,0.039229438788972094,0.10421945002651635,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,3,0.09935030542182942,0.04025264045956966,0.08684746894001338,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,4,0.10982040547119853,0.0387963678556188,0.17178509607000325,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,5,0.09562278090403871,0.039499027984564006,0.10312879928030623,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,6,0.10711938829100143,0.038072272662785636,0.17092453960650264,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,7,0.09701963790415864,0.040857029909105474,0.14855932555563414,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,8,0.10434495910320613,0.040496155320006715,0.09645158975373293,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,9,0.1178119846658059,0.03970679431701699,0.18364560164892885,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,10,0.10417657476524918,0.03834810075113309,0.12190261816578256,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,11,0.09560006095617582,0.03936884939006442,0.11427763766576197,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,12,0.10285560691121935,0.040874487409876155,0.10469364240573338,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,13,0.10240029715064072,0.038405220934226846,0.11313992964776433,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,14,0.1044974371334973,0.0396802985323794,0.16184004437098362,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,15,0.1127299598141548,0.039418351624691525,0.1185094131188607,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,16,0.10394527766519107,0.03784623278870907,0.13209545616101545,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,17,0.10526281139044977,0.0408399335394279,0.12043987973626545,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,18,0.10359046484629328,0.0385443316715568,0.14253303571393913,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,19,0.11303320627635007,0.040361227140033006,0.1603716284544371,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,20,0.0962934433686783,0.03715704447687904,0.12033429289054957,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,21,0.1185033644872255,0.039194100493804424,0.15765426822978787,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,22,0.10288495870493605,0.04007195468786598,0.12063001976543097,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,23,0.10325110277813383,0.03948848570058276,0.11559577331679076,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,24,0.10046432351501079,0.04048745893991193,0.10420020249570859,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,25,0.10430165889942185,0.040157304699953385,0.09895201172844331,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,26,0.10108893358307741,0.04023508101012699,0.13681149903027168,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,27,0.10434125849684707,0.03878049778068873,0.14303482817363417,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,28,0.10267034417932375,0.04079579093453235,0.13088431335275666,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,29,0.10027785893393974,0.04039312209606251,0.10489846126804936,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,30,0.10366402319718285,0.03902318474149545,0.10198333678639764,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,31,0.11025059824739131,0.03849297630713038,0.14105850553342117,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,32,0.09479644020476774,0.037678473431272945,0.1314360575195078,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,33,0.1049940202817273,0.0388312416758419,0.132615943029322,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,34,0.09927849035543158,0.03857015557802907,0.11175371157776513,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,35,0.10193254643752343,0.037966469792176834,0.10696721345889937,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,36,0.09889371497234604,0.039406175798740575,0.10835592041853066,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,37,0.10715197706583893,0.038580188242170174,0.10032053778880555,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,38,0.10738215083377113,0.038531291872862306,0.13735591943678704,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,39,0.10850209124041675,0.04054250940164768,0.14255157473910549,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,40,0.10497038660116129,0.03939926642814695,0.1592398899690743,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,41,0.10672531706843168,0.0384945572871549,0.07121997523320715,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,42,0.09844333382029884,0.04014062891261462,0.11039296048392033,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,43,0.10412308686754732,0.040617749814063145,0.14912367540310364,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,44,0.10731588018688765,0.039855487972907305,0.16652361348579484,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,45,0.11197346254840633,0.03888694362367536,0.12045935438075821,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,46,0.10405942738589792,0.038428304206624526,0.1730475405446994,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,47,0.10168302219750405,0.039600992249532264,0.13923288742945425,,
